Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2022-06-30
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);
2022-01-28;2200;20;
2022-01-28;2300;19,8;
2022-01-29;0000;19,5;
2022-01-29;0100;19,1;
2022-01-29;0200;18,9;
2022-01-29;0300;18,7;
2022-01-29;0400;18,7;
2022-01-29;0500;18,6;
2022-01-29;0600;18,7;
2022-01-29;0700;18,9;
2022-01-29;0800;19,1;
2022-01-29;0900;18,8;
2022-01-29;1000;19,1;
2022-01-29;1100;19,3;
2022-01-29;1200;20,9;
2022-01-29;1300;21,5;
2022-01-29;1400;20,8;
2022-01-29;1500;20,2;
2022-01-29;1600;20,8;
2022-01-29;1700;20,4;
2022-01-29;1800;19,9;
2022-01-29;1900;19,5;
2022-01-29;2000;19,6;
2022-01-29;2100;19,2;
2022-01-29;2200;19,2;
2022-01-29;2300;19;
2022-01-30;0000;18,9;
2022-01-30;0100;19,2;
2022-01-30;0200;19,2;
2022-01-30;0300;18,7;
2022-01-30;0400;18,3;
2022-01-30;0500;18,3;
2022-01-30;0600;18,4;
2022-01-30;0700;18,7;
2022-01-30;0800;18,9;
2022-01-30;0900;19,2;
2022-01-30;1000;18,8;
2022-01-30;1100;19,1;
2022-01-30;1200;19,3;
2022-01-30;1300;19,9;
2022-01-30;1400;21,2;
2022-01-30;1500;23,2;
2022-01-30;1600;24,1;
2022-01-30;1700;23,1;
2022-01-30;1800;21,2;
2022-01-30;1900;21,9;
2022-01-30;2000;21,3;
2022-01-30;2100;20,8;
2022-01-30;2200;20,3;
2022-01-30;2300;20,2;
2022-01-31;0000;19,9;
2022-01-31;0100;19,6;
2022-01-31;0200;19,4;
2022-01-31;0300;19,1;
2022-01-31;0400;19;
2022-01-31;0500;19;
2022-01-31;0600;18,9;
2022-01-31;0700;19,1;
2022-01-31;0800;19,2;
2022-01-31;0900;19,2;
2022-01-31;1000;19,4;
2022-01-31;1100;20,4;
2022-01-31;1200;20,6;
2022-01-31;1300;20,7;
2022-01-31;1400;22,4;
2022-01-31;1500;24,1;
2022-01-31;1600;24,3;
2022-01-31;1700;22,7;
2022-01-31;1800;23,8;
2022-01-31;1900;23;
2022-01-31;2000;24,1;
2022-01-31;2100;22,2;
2022-01-31;2200;21,2;
2022-01-31;2300;20,6;
2022-02-01;0000;20,6;
2022-02-01;0100;20,6;
2022-02-01;0200;20,5;
2022-02-01;0300;20,5;
2022-02-01;0400;20,2;
2022-02-01;0500;20,2;
2022-02-01;0600;20,3;
2022-02-01;0700;20,1;
2022-02-01;0800;20,1;
2022-02-01;0900;20,3;
2022-02-01;1000;21,1;
2022-02-01;1100;22,5;
2022-02-01;1200;23,5;
2022-02-01;1300;24,5;
2022-02-01;1400;26,1;
2022-02-01;1500;26;
2022-02-01;1600;25,4;
2022-02-01;1700;21,9;
2022-02-01;1800;21,9;
2022-02-01;1900;21,6;
2022-02-01;2000;21,7;
2022-02-01;2100;21,5;
2022-02-01;2200;21,2;
2022-02-01;2300;21,1;
2022-02-02;0000;21;
2022-02-02;0100;20,4;
2022-02-02;0200;20,4;
2022-02-02;0300;20;
2022-02-02;0400;19,5;
2022-02-02;0500;19,1;
2022-02-02;0600;19,2;
2022-02-02;0700;19,4;
2022-02-02;0800;19,3;
2022-02-02;0900;19,2;
2022-02-02;1000;19,9;
2022-02-02;1100;21,2;
2022-02-02;1200;22,7;
2022-02-02;1300;23,9;
2022-02-02;1400;24,7;
2022-02-02;1500;25,4;
2022-02-02;1600;23,4;
2022-02-02;1700;20,6;
2022-02-02;1800;20,8;
2022-02-02;1900;20,8;
2022-02-02;2000;20,3;
2022-02-02;2100;20;
2022-02-02;2200;20,1;
2022-02-02;2300;20,2;
2022-02-03;0000;20,2;
2022-02-03;0100;20;
2022-02-03;0200;20,2;
2022-02-03;0300;20;
2022-02-03;0400;20;
2022-02-03;0500;19,7;
2022-02-03;0600;18,9;
2022-02-03;0700;19,1;
2022-02-03;0800;19,1;
2022-02-03;0900;19,2;
2022-02-03;1000;20,2;
2022-02-03;1100;21,3;
2022-02-03;1200;23,2;
2022-02-03;1300;24;
2022-02-03;1400;25;
2022-02-03;1500;25,5;
2022-02-03;1600;25,1;
2022-02-03;1700;26,1;
2022-02-03;1800;23,4;
2022-02-03;1900;22,7;
2022-02-03;2000;22,3;
2022-02-03;2100;21,8;
2022-02-03;2200;21,5;
2022-02-03;2300;21,4;
2022-02-04;0000;21,3;
2022-02-04;0100;21,1;
2022-02-04;0200;20,8;
2022-02-04;0300;21,3;
2022-02-04;0400;21,4;
2022-02-04;0500;21,3;
2022-02-04;0600;21;
2022-02-04;0700;20,8;
2022-02-04;0800;20,5;
2022-02-04;0900;20,5;
2022-02-04;1000;21,4;
2022-02-04;1100;22,2;
2022-02-04;1200;22,5;
2022-02-04;1300;23,2;
2022-02-04;1400;24;
2022-02-04;1500;26;
2022-02-04;1600;26,1;
2022-02-04;1700;26,8;
2022-02-04;1800;28;
2022-02-04;1900;27,1;
2022-02-04;2000;27,5;
2022-02-04;2100;26,6;
2022-02-04;2200;24,5;
2022-02-04;2300;24,1;
2022-02-05;0000;23,5;
2022-02-05;0100;22,4;
2022-02-05;0200;21;
2022-02-05;0300;20,7;
2022-02-05;0400;20,8;
2022-02-05;0500;20,9;
2022-02-05;0600;21;
2022-02-05;0700;21,2;
2022-02-05;0800;21;
2022-02-05;0900;20,5;
2022-02-05;1000;21,3;
2022-02-05;1100;23,5;
2022-02-05;1200;25;
2022-02-05;1300;25,6;
2022-02-05;1400;27,7;
2022-02-05;1500;26,8;
2022-02-05;1600;28,7;
2022-02-05;1700;30,5;
2022-02-05;1800;29,4;
2022-02-05;1900;27,3;
2022-02-05;2000;27,4;
2022-02-05;2100;25,3;
2022-02-05;2200;24,5;
2022-02-05;2300;24,2;
2022-02-06;0000;23,3;
2022-02-06;0100;22,8;
2022-02-06;0200;22,7;
2022-02-06;0300;22,5;
